method,metric,delta,lambda,rho,sim,graph,selected_sensor,p_inf_selected,cand_mean_p_inf,cand_std_p_inf,rank_in_candidates,neigh_mean_p_inf,neigh_std_p_inf,true_state_t0,entropy_selected,entropy_cand_mean,entropy_neigh_mean,frontier_selected,frontier_rank,frontier_cand_mean
sequential,c_mov,0.2,0.3,0.08666666666666667,0,rrg,71,0.19999997,0.20834488,0.044938628,41,0.46665856,0.3771121,1,1.8039249,2.011529,1.3498784,0.26665857,14,0.07834805
sequential,c_mov,0.2,0.3,0.09,0,rrg,4,0.2,0.21251735,0.054561865,27,0.20000005,3.5471857e-08,1,2.0556998,1.9831042,1.987441,5.9604645e-08,28,0.099750884
sequential,c_mov,0.2,0.3,0.09333333333333334,0,rrg,79,0.19999996,0.21251732,0.054561887,45,0.19999999,4.3867832e-08,1,2.1648135,2.007772,2.1474497,4.9670536e-08,33,0.080582045
sequential,c_mov,0.2,0.3,0.09666666666666666,0,rrg,171,0.19999997,0.20417242,0.0320492,36,0.46666667,0.37712362,1,1.8024435,1.9942069,1.3478942,0.26666668,11,0.10210648
sequential,c_mov,0.2,0.3,0.1,0,rrg,123,0.2,0.21251734,0.05456189,24,0.28344908,0.118014805,1,2.0474207,2.0239928,1.9403877,0.0834491,13,0.06558064
sequential,c_mov,0.2,0.3,0.10333333333333333,0,rrg,239,0.2,0.20417243,0.032049146,24,0.19999999,7.837878e-08,1,2.16602,1.9847624,2.1505988,6.953875e-08,32,0.10445191
sequential,c_mov,0.2,0.3,0.10666666666666667,0,rrg,189,0.19999999,0.21251735,0.05456189,41,0.46666667,0.3771236,1,1.7854857,1.9761789,1.3177472,0.26666668,8,0.10293789
sequential,c_mov,0.2,0.3,0.11,0,rrg,191,0.20000003,0.20417245,0.032049228,13,0.20000003,6.774158e-08,1,2.092306,2.0167406,2.0440254,5.9604645e-08,33,0.081685714
sequential,c_mov,0.2,0.3,0.11333333333333333,0,rrg,77,0.19999997,0.21668981,0.06244752,47,0.2,1.4901161e-08,1,1.982933,1.9187152,1.8859271,2.4835268e-08,50,0.14376834
sequential,c_mov,0.2,0.3,0.11666666666666667,0,rrg,218,0.20000009,0.20417245,0.032049205,2,0.2,3.6500243e-08,1,2.1316757,2.009054,2.0934618,7.947286e-08,22,0.07556715
sequential,c_mov,0.2,0.3,0.12,0,rrg,282,0.2,0.2,4.5523798e-08,30,0.19999994,5.771195e-08,1,1.9665385,2.0061924,1.8565379,5.4637592e-08,38,0.07514417
sequential,c_mov,0.2,0.3,0.12333333333333334,0,rrg,105,0.19999991,0.20417242,0.032049175,59,0.19999999,2.8533552e-08,1,2.1508055,1.9653709,2.121854,7.947286e-08,30,0.115555
sequential,c_mov,0.2,0.3,0.12666666666666668,0,rrg,35,0.20000009,0.20834489,0.04493867,4,0.28344893,0.11801461,1,2.0617986,1.9173499,1.9623947,0.08344895,28,0.14361085
sequential,c_mov,0.2,0.3,0.13,0,rrg,295,0.20000002,0.2,4.2713772e-08,10,0.46666667,0.37712362,1,1.8031319,1.918688,1.3460099,0.26666668,13,0.15222126
