method,metric,delta,lambda,rho,sim,graph,selected_sensor,p_inf_selected,cand_mean_p_inf,cand_std_p_inf,rank_in_candidates,neigh_mean_p_inf,neigh_std_p_inf,true_state_t0,entropy_selected,entropy_cand_mean,entropy_neigh_mean,frontier_selected,frontier_rank,frontier_cand_mean
sequential,mov,0.2,0.3,0.16666666666666666,0,rrg,90,0.4037382,0.1443265,0.08056591,1,0.2611316,0.12637305,1,1.7902125,2.21817,1.8799648,0.15795349,4,0.06656941
sequential,mov,0.2,0.3,0.17,0,rrg,180,0.2755588,0.14644797,0.095257886,3,0.38863122,0.43222135,0,1.2809014,2.1882885,0.676344,0.36424747,2,0.08452665
sequential,mov,0.2,0.3,0.17333333333333334,0,rrg,33,0.6506854,0.13988537,0.09424857,1,0.13527395,0.19130298,0,0.9115357,2.2083316,0.588033,0.51541144,1,0.07319414
sequential,mov,0.2,0.3,0.17666666666666667,0,rrg,294,0.20415072,0.15631738,0.13238907,15,0.12227353,0.056782182,0,2.3609145,2.1815736,2.2775514,0.081877194,14,0.08108626
sequential,mov,0.2,0.3,0.18,0,rrg,263,0.21527568,0.16152088,0.091943674,14,0.21295182,0.005137962,0,2.1954908,2.2073061,2.2196748,0.005510941,60,0.084439546
sequential,mov,0.2,0.3,0.18333333333333332,0,rrg,281,0.42902964,0.14736588,0.07917788,1,0.107568026,0.07531589,0,1.7817215,2.2491345,1.567275,0.32146162,3,0.082485326
sequential,mov,0.2,0.3,0.18666666666666668,0,rrg,73,0.55402124,0.16219853,0.10546132,2,0.0891322,0.077322595,1,1.569943,2.1697676,1.5305225,0.46488905,1,0.08873227
sequential,mov,0.2,0.3,0.19,0,rrg,272,0.5781396,0.14674959,0.09491325,1,0.11148202,0.08514004,1,1.4219127,2.1682627,1.3613019,0.4666576,1,0.08627589
sequential,mov,0.2,0.3,0.19333333333333333,0,rrg,149,0.2330109,0.13974606,0.067714915,4,0.19065297,0.052726623,0,2.130792,2.2051198,2.122566,0.048716057,35,0.07501923
sequential,mov,0.2,0.3,0.19666666666666666,0,rrg,86,0.13047597,0.14310764,0.13271342,28,0.2858007,0.24364378,0,2.2496188,2.176893,1.990085,0.22382908,4,0.0919456
sequential,mov,0.2,0.3,0.2,0,rrg,83,0.17698854,0.1662315,0.1803019,20,0.12631316,0.025073227,0,2.277781,2.1263998,2.127772,0.05067538,43,0.11133565
sequential,mov,0.2,0.3,0.20333333333333334,0,rrg,135,0.32176366,0.16533202,0.15384188,3,0.16313754,0.11818475,0,1.807073,2.163329,1.3727999,0.15862612,5,0.09206413
sequential,mov,0.2,0.3,0.20666666666666667,0,rrg,91,0.5179813,0.1631821,0.17876801,3,0.1377645,0.097365096,1,1.5538988,2.0905735,1.3835508,0.3802168,3,0.11157111
sequential,mov,0.2,0.3,0.21,0,rrg,236,0.19264907,0.16623922,0.14129439,22,0.17594928,0.1519766,0,1.9534615,2.1353433,1.2755255,0.13548024,8,0.08961813
sequential,mov,0.2,0.3,0.21333333333333335,0,rrg,110,0.21472998,0.14039966,0.074798144,7,0.22093706,0.013779607,0,2.1775544,2.193359,2.1988437,0.015048544,57,0.081265286
sequential,mov,0.2,0.3,0.21666666666666667,0,rrg,292,0.51740324,0.14621878,0.08860422,1,0.076304555,0.10787466,1,1.5024734,2.1450174,0.71964544,0.4410987,1,0.095237456
sequential,mov,0.2,0.3,0.22,0,rrg,8,0.23738451,0.12631522,0.07639042,4,0.049827617,0.041597243,0,1.9403228,2.209955,1.4811851,0.18755688,5,0.0744932
sequential,mov,0.2,0.3,0.22333333333333333,0,rrg,57,0.20216961,0.14736412,0.1359005,12,0.46965277,0.37502158,0,1.816224,2.1299188,1.404561,0.26811728,6,0.09976762
sequential,mov,0.2,0.3,0.22666666666666666,0,rrg,146,0.18590276,0.1287315,0.13046682,12,0.16887844,0.02403633,0,2.329228,2.193719,2.3376615,0.028116345,54,0.075126916
sequential,mov,0.2,0.3,0.23,0,rrg,286,0.2048811,0.14326909,0.13271141,11,0.18590821,0.07126175,0,2.199948,2.1283243,2.121058,0.058434617,34,0.110513166
sequential,mov,0.2,0.3,0.23333333333333334,0,rrg,101,0.21807168,0.13934807,0.076559275,12,0.21304655,0.029718924,0,2.1911173,2.1665852,2.2028325,0.02591314,59,0.083267696
sequential,mov,0.2,0.3,0.23666666666666666,0,rrg,297,0.21232833,0.12567417,0.0738352,8,0.17147408,0.053546254,0,2.2741032,2.1745064,2.2330282,0.04805937,36,0.07871928
sequential,mov,0.2,0.3,0.24,0,rrg,243,0.24633856,0.1444289,0.08371043,8,0.35821033,0.16091564,0,1.9418782,2.198364,1.8584872,0.119710624,13,0.08995653
sequential,mov,0.2,0.3,0.24333333333333335,0,rrg,52,0.79738975,0.15741323,0.1393006,2,0.061316293,0.084444985,1,0.78748345,2.1468565,0.6162761,0.73607343,2,0.11140673
sequential,mov,0.2,0.3,0.24666666666666667,0,rrg,122,0.23191717,0.12119374,0.07681785,4,0.18624784,0.10473418,0,2.183796,2.1481383,2.1070411,0.112545155,12,0.09107824
sequential,mov,0.2,0.3,0.25,0,rrg,105,0.41126552,0.14896344,0.159846,3,0.12180974,0.16963808,0,1.6889665,2.130145,0.6779068,0.28945577,4,0.112960465
sequential,mov,0.2,0.3,0.25333333333333335,0,rrg,196,0.30561268,0.16382232,0.17581901,6,0.080264814,0.11351159,0,1.7334434,2.1019647,0.6883499,0.22534788,9,0.119650744
sequential,mov,0.2,0.3,0.25666666666666665,0,rrg,177,0.24156919,0.13441192,0.102643974,7,0.21024239,0.030341659,0,2.2476451,2.11165,2.3084738,0.03786783,47,0.08984493
sequential,mov,0.2,0.3,0.26,0,rrg,242,0.706892,0.15110299,0.11873751,1,0.14935471,0.15894082,1,0.604996,2.0899074,1.1927806,0.55753726,2,0.1044685
sequential,mov,0.2,0.3,0.2633333333333333,0,rrg,102,0.17948844,0.12671594,0.08538319,10,0.0,0.0,0,0.9801756,2.136542,0.0,0.17948844,10,0.10562315
sequential,mov,0.2,0.3,0.26666666666666666,0,rrg,136,0.19930242,0.16685909,0.17776236,15,0.15746684,0.07369057,0,2.2545176,2.1055808,2.17458,0.081867196,19,0.12717646
sequential,mov,0.2,0.3,0.27,0,rrg,145,0.23269996,0.15161894,0.14708123,5,0.041902382,0.05831121,0,1.8714281,2.0870554,0.6883301,0.19079757,13,0.1293231
sequential,mov,0.2,0.3,0.2733333333333333,0,rrg,184,0.15339985,0.14285158,0.16814594,20,0.13381426,0.09650027,0,2.1215944,2.0719345,1.4745817,0.08268096,23,0.12124821
sequential,mov,0.2,0.3,0.27666666666666667,0,rrg,139,0.20501488,0.13197759,0.06963237,9,0.15787596,0.0692744,0,2.2607546,2.1582365,2.201389,0.080956064,22,0.09557941
sequential,mov,0.2,0.3,0.28,0,rrg,216,0.28377894,0.14241059,0.13569589,5,0.069759615,0.09792017,0,1.9344926,2.1126106,0.7567985,0.21401934,9,0.11139296
sequential,mov,0.2,0.3,0.2833333333333333,0,rrg,23,0.096463814,0.15760586,0.17129032,40,0.2510067,0.33462027,0,2.0505843,2.0977013,0.98017246,0.26377,10,0.13631716
sequential,mov,0.2,0.3,0.2866666666666667,0,rrg,265,0.27401257,0.14418732,0.16902615,3,0.061763663,0.08734698,0,1.8287456,2.0551715,0.7006132,0.21224892,8,0.11360545
sequential,mov,0.2,0.3,0.29,0,rrg,75,0.3770433,0.18249127,0.18536888,5,0.06456011,0.09130178,0,1.7198713,2.072468,0.7181446,0.31248322,9,0.14575188
sequential,mov,0.2,0.3,0.29333333333333333,0,rrg,74,0.23095222,0.13249415,0.14342843,3,0.4317341,0.40242854,0,1.6625727,2.1041842,1.1806267,0.31191662,6,0.11675688
sequential,mov,0.2,0.3,0.2966666666666667,0,rrg,100,0.21778981,0.15435296,0.1805857,8,0.1370642,0.11781996,0,2.018367,2.069667,1.442237,0.12764978,10,0.121042654
