method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
greedyWarmStartMOV,rrg,0.2,0.3,0.3,0,0.7633333333333333,0.7533491,0.21978021978021972,-4.4263244,35.185173450350604,38.416985,101.48351648351648,0.6923076923076923,0.3956043956043956,0.5034965034965035
greedyWarmStartMOV,rrg,0.3,0.3,0.3,0,0.8,0.7852337,0.34065934065934084,-3.7248635,27.13525041106174,28.5375,84.42857142857143,0.7246376811594203,0.5494505494505495,0.625
greedyWarmStartMOV,rrg,0.4,0.3,0.3,0,0.8166666666666667,0.8255927,0.3956043956043956,-2.8369644,23.641458769851763,21.780067,79.3956043956044,0.7195121951219512,0.6483516483516484,0.6820809248554913
greedyWarmStartMOV,rrg,0.2,0.3,0.3,1,0.77,0.76908773,0.14814814814814828,-4.080075,33.69938211110705,33.18357,106.12345679012346,0.625,0.37037037037037035,0.4651162790697674
greedyWarmStartMOV,rrg,0.3,0.3,0.3,1,0.79,0.79956067,0.2222222222222224,-3.4096696,24.835010136762957,25.068851,87.64197530864197,0.640625,0.5061728395061729,0.5655172413793104
greedyWarmStartMOV,rrg,0.4,0.3,0.3,1,0.83,0.83590096,0.37037037037037024,-2.6101823,20.452009311516473,19.451475,67.45679012345678,0.6923076923076923,0.6666666666666666,0.6792452830188679
greedyWarmStartMOV,rrg,0.2,0.3,0.3,2,0.7633333333333333,0.764484,0.1341463414634145,-4.1813574,34.34984525170332,38.64734,106.6951219512195,0.6170212765957447,0.35365853658536583,0.44961240310077516
greedyWarmStartMOV,rrg,0.3,0.3,0.3,2,0.7833333333333333,0.7997102,0.20731707317073164,-3.4063795,27.71211131352765,28.952627,89.32926829268293,0.639344262295082,0.47560975609756095,0.5454545454545455
greedyWarmStartMOV,rrg,0.4,0.3,0.3,2,0.8466666666666667,0.8343861,0.43902439024390244,-2.6435091,20.97926886414963,21.225824,70.46341463414635,0.7307692307692307,0.6951219512195121,0.7125
