method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
bp_it_entropy,rrg,0.2,0.3,0.3,0,0.7866666666666666,0.7466497,0.12328767123287639,-4.5737123,43.04673600652107,49.631992,97.27397260273973,0.6216216216216216,0.3150684931506849,0.41818181818181815
bp_it_entropy,rrg,0.3,0.3,0.3,0,0.7866666666666666,0.7791181,0.12328767123287639,-3.859406,37.88104986483492,41.275425,82.58904109589041,0.5818181818181818,0.4383561643835616,0.5
bp_it_entropy,rrg,0.4,0.3,0.3,0,0.7833333333333333,0.815767,0.10958904109589022,-3.0531301,33.65938042475394,34.181828,71.91780821917808,0.5555555555555556,0.547945205479452,0.5517241379310345
bp_it_entropy,rrg,0.2,0.3,0.3,1,0.7633333333333333,0.7424786,0.1445783132530118,-4.665476,45.96471038929792,51.387196,97.46987951807229,0.6363636363636364,0.3373493975903614,0.4409448818897638
bp_it_entropy,rrg,0.3,0.3,0.3,1,0.7766666666666666,0.7767128,0.19277108433734907,-3.9123237,40.68441281029197,43.662853,84.21686746987952,0.6333333333333333,0.4578313253012048,0.5314685314685315
bp_it_entropy,rrg,0.4,0.3,0.3,1,0.7966666666666666,0.81581223,0.26506024096385516,-3.0521348,36.60453880164749,34.49273,74.60240963855422,0.6486486486486487,0.5783132530120482,0.6114649681528662
bp_it_entropy,rrg,0.2,0.3,0.3,2,0.73,0.7463131,0.058139534883720735,-4.581117,45.78690741680435,51.40553,103.65116279069767,0.5555555555555556,0.29069767441860467,0.3816793893129771
bp_it_entropy,rrg,0.3,0.3,0.3,2,0.7433333333333333,0.7875994,0.10465116279069739,-3.672818,43.24035764263013,40.781113,87.33720930232558,0.5714285714285714,0.4186046511627907,0.48322147651006714
bp_it_entropy,rrg,0.4,0.3,0.3,2,0.7733333333333333,0.83414567,0.20930232558139517,-2.648799,42.29279109916143,30.600904,73.45348837209302,0.6216216216216216,0.5348837209302325,0.575
