method,graph,rho,delta,lambda,sim,O,MO,O_tilde,MO_tilde,SE,MSE,rank,precision,recall,f1
greedyMOV,rrg,0.0,0.3,0.3,0,0.698,0.7000017,0.0,-2.5999827,16.963301349424626,20.558792,242.83443708609272,0.0,0.0,0.0
greedyMOV,rrg,0.1,0.3,0.3,0,0.688,0.7528019,-0.03311258278145698,-1.9663801,13.80978250791411,14.193305,222.5430463576159,0.43243243243243246,0.10596026490066225,0.1702127659574468
greedyMOV,rrg,0.2,0.3,0.3,0,0.684,0.8026852,-0.0463576158940394,-1.3677799,12.128870483890804,10.117999,187.72185430463577,0.4426229508196721,0.17880794701986755,0.25471698113207547
greedyMOV,rrg,0.30000000000000004,0.3,0.3,0,0.71,0.84255356,0.039735099337748374,-0.8893591,9.555582704370925,7.029722,156.33112582781456,0.5357142857142857,0.2980132450331126,0.3829787234042553
greedyMOV,rrg,0.4,0.3,0.3,0,0.772,0.87588125,0.24503311258278163,-0.48942637,8.644751077473673,5.504256,129.19205298013244,0.6554621848739496,0.5165562913907285,0.5777777777777778
greedyMOV,rrg,0.5,0.3,0.3,0,0.836,0.9069291,0.4569536423841059,-0.11685216,7.691013210392315,4.413623,109.17880794701986,0.7254901960784313,0.7350993377483444,0.7302631578947368
