method,metric,delta,lambda,rho,sim,graph,selected_sensor,p_inf_selected,cand_mean_p_inf,cand_std_p_inf,rank_in_candidates,neigh_mean_p_inf,neigh_std_p_inf,true_state_t0,entropy_selected,entropy_cand_mean,entropy_neigh_mean
sequential,ov,0.1,0.3,0.10666666666666667,1,rrg,131,0.09998372,0.124202736,0.07778433,21,0.09998372,1.0536712e-08,0,1.9455888,1.3920895,0.7804117
sequential,ov,0.1,0.3,0.11,1,rrg,275,0.09998373,0.124407664,0.09801631,14,0.094433576,0.007849044,0,2.4193254,1.3907703,1.517458
sequential,ov,0.1,0.3,0.11333333333333333,1,rrg,5,0.39094338,0.12978165,0.07391373,1,0.06668147,0.047096476,1,0.67484635,1.2827772,1.559831
sequential,ov,0.1,0.3,0.11666666666666667,1,rrg,124,0.09998371,0.11930149,0.09149694,40,0.096732736,0.004597571,0,1.8910656,1.3852235,1.5567322
sequential,ov,0.1,0.3,0.12,1,rrg,248,0.099983715,0.11099107,0.04612121,32,0.17187637,0.10167154,0,2.2848592,1.4684126,1.2224153
sequential,ov,0.1,0.3,0.12333333333333334,1,rrg,40,0.18956448,0.11517906,0.044673763,6,0.17235596,0.102349825,0,0.49389642,1.4225498,1.6134707
sequential,ov,0.1,0.3,0.12666666666666668,1,rrg,146,0.09998372,0.11043145,0.03141108,24,0.14605217,0.06515063,0,1.733656,1.5552312,1.1972775
sequential,ov,0.1,0.3,0.13,1,rrg,212,0.099983715,0.11385577,0.0636774,30,0.0999837,2.7543646e-08,0,1.9174882,1.5002083,1.571071
sequential,ov,0.1,0.3,0.13333333333333333,1,rrg,25,0.86117196,0.13269593,0.11998158,1,0.10653237,0.075330935,0,0.4073193,1.2863787,1.0329379
sequential,ov,0.1,0.3,0.13666666666666666,1,rrg,283,0.09998372,0.11299494,0.035589904,20,0.09998375,4.4909967e-08,0,2.1123614,1.4716021,1.0251266
sequential,ov,0.1,0.3,0.14,1,rrg,83,0.17322303,0.15355937,0.11776759,12,0.122696705,0.009390022,0,2.3014977,1.3558152,1.6892916
sequential,ov,0.1,0.3,0.14333333333333334,1,rrg,49,0.09998369,0.119375855,0.06652866,49,0.09443358,0.007849081,0,2.2216854,1.5002602,2.3936906
sequential,ov,0.1,0.3,0.14666666666666667,1,rrg,224,0.09998369,0.13396063,0.0921166,45,0.0999837,1.7735928e-08,0,1.3487828,1.4351391,1.8850571
sequential,ov,0.1,0.3,0.15,1,rrg,23,0.26422897,0.13687164,0.09443627,6,0.1573889,0.044049464,0,1.2504551,1.5643356,1.4357191
sequential,ov,0.1,0.3,0.15333333333333332,1,rrg,142,0.7316197,0.14797893,0.14142258,2,0.033437114,0.047055606,0,0.59967405,1.3870178,0.7390532
sequential,ov,0.1,0.3,0.15666666666666668,1,rrg,10,0.9831856,0.1524478,0.16399315,1,0.06691257,0.04676968,0,0.10813005,1.4785247,1.4301949
sequential,ov,0.1,0.3,0.16,1,rrg,64,0.2706783,0.12666267,0.07754875,4,0.09887534,0.0015674834,0,0.60427606,1.4960105,1.8286133
sequential,ov,0.1,0.3,0.16333333333333333,1,rrg,128,0.33608916,0.13317595,0.09643452,4,0.27071235,0.18418114,1,1.6915011,1.552977,1.5989088
sequential,ov,0.1,0.3,0.16666666666666666,1,rrg,210,0.543091,0.12606212,0.07577448,1,0.06668072,0.047097564,0,0.6936886,1.4048465,1.5299716
sequential,ov,0.1,0.3,0.17,1,rrg,189,0.09998373,0.13004762,0.11168212,15,0.11889436,0.026743721,1,1.9417129,1.3511424,0.7771049
sequential,ov,0.1,0.3,0.17333333333333334,1,rrg,284,0.09998372,0.11426961,0.041156244,18,0.094920225,0.00716086,0,1.905195,1.4644941,0.8249438
sequential,ov,0.1,0.3,0.17666666666666667,1,rrg,53,0.09959131,0.12479811,0.090889245,58,0.08082136,0.027099652,0,0.33257538,1.3719616,1.5826572
sequential,ov,0.1,0.3,0.18,1,rrg,219,0.09998372,0.1207544,0.07805414,23,0.061130375,0.043705165,0,2.0559208,1.5093119,0.9423032
sequential,ov,0.1,0.3,0.18333333333333332,1,rrg,122,0.18919572,0.12165038,0.06494293,9,0.13778417,0.105847225,0,1.5858607,1.3956757,0.3447698
sequential,ov,0.1,0.3,0.18666666666666668,1,rrg,11,0.11213875,0.11714173,0.077492066,11,0.12137905,0.094456755,0,0.3597183,1.3803128,1.7242637
sequential,ov,0.1,0.3,0.19,1,rrg,271,0.09998372,0.103780605,0.0570016,18,0.06493824,0.025826573,0,2.4186387,1.3759097,1.1765991
sequential,ov,0.1,0.3,0.19333333333333333,1,rrg,251,0.02309268,0.10671915,0.050482716,57,0.050162002,0.036024194,0,2.1633778,1.6179394,1.09056
sequential,ov,0.1,0.3,0.19666666666666666,1,rrg,46,0.67277086,0.15423155,0.14348239,2,0.055528756,0.04142784,0,0.63976574,1.490495,1.3688627
sequential,ov,0.1,0.3,0.2,1,rrg,69,0.9132,0.13371235,0.12401137,1,0.0668959,0.046793234,0,0.3321042,1.3888649,1.4529433
sequential,ov,0.1,0.3,0.20333333333333334,1,rrg,19,0.09998369,0.12170115,0.08187562,40,0.09998372,6.083374e-09,0,0.33343804,1.4765533,2.2517607
sequential,ov,0.1,0.3,0.20666666666666667,1,rrg,166,0.13192342,0.12461083,0.079909734,12,0.11806732,0.0834166,0,1.7172585,1.516065,0.49334595
sequential,ov,0.1,0.3,0.21,1,rrg,82,0.24430685,0.13166627,0.08208821,8,0.06910507,0.048940312,0,0.56424236,1.5311698,1.1249958
sequential,ov,0.1,0.3,0.21333333333333335,1,rrg,133,0.09998371,0.12005494,0.11841369,35,0.0999837,2.7543646e-08,0,1.8728166,1.4003671,2.1779776
sequential,ov,0.1,0.3,0.21666666666666667,1,rrg,101,0.099983685,0.11448665,0.08106321,48,0.09998372,6.083374e-09,0,0.33343804,1.5991247,2.2854557
sequential,ov,0.1,0.3,0.22,1,rrg,292,0.099983715,0.11566851,0.0737231,34,0.37621292,0.441939,0,2.0046163,1.5564418,1.341729
sequential,ov,0.1,0.3,0.22333333333333333,1,rrg,230,0.016415229,0.11309043,0.062440556,60,0.066881545,0.06091747,0,2.1942623,1.4957069,1.5487038
sequential,ov,0.1,0.3,0.22666666666666666,1,rrg,118,0.09998368,0.09860982,0.03490742,45,0.099983715,2.4710781e-08,0,0.33343804,1.3213571,1.2980157
sequential,ov,0.1,0.3,0.23,1,rrg,57,0.0999837,0.12282639,0.08678752,37,0.099983715,1.6095093e-08,0,0.3334381,1.2591548,1.8406194
sequential,ov,0.1,0.3,0.23333333333333334,1,rrg,195,0.099983715,0.12618847,0.08412389,30,0.09998369,2.4710781e-08,0,2.0936232,1.5169544,1.5398711
sequential,ov,0.1,0.3,0.23666666666666666,1,rrg,72,0.3864672,0.11973607,0.08117998,2,0.135595,0.09688927,1,1.8095702,1.4367998,0.9935191
sequential,ov,0.1,0.3,0.24,1,rrg,290,0.099983715,0.13030064,0.09404413,29,0.44089845,0.39792487,0,1.9598541,1.429339,0.7227122
sequential,ov,0.1,0.3,0.24333333333333335,1,rrg,105,0.09998368,0.109146975,0.06691335,52,0.39969066,0.42384967,0,0.33343804,1.6160614,1.0212749
sequential,ov,0.1,0.3,0.24666666666666667,1,rrg,79,0.3338405,0.12665243,0.086699195,4,0.18748116,0.123740084,0,0.6443821,1.7830784,2.0264227
sequential,ov,0.1,0.3,0.25,1,rrg,159,0.03652076,0.12237703,0.100670844,56,0.06178351,0.04401132,0,2.055757,1.5492858,1.5277141
sequential,ov,0.1,0.3,0.25333333333333335,1,rrg,201,0.58036864,0.14000387,0.13194676,2,0.085935436,0.06513229,1,1.4624823,1.4695916,1.3276798
sequential,ov,0.1,0.3,0.25666666666666665,1,rrg,115,0.09998371,0.10680045,0.063798696,36,0.09998372,4.3015946e-09,0,0.33343807,1.4379996,2.0424733
sequential,ov,0.1,0.3,0.26,1,rrg,285,0.09998372,0.12684616,0.09662716,21,0.07281058,0.03929589,0,2.2887986,1.5832592,1.3781658
sequential,ov,0.1,0.3,0.2633333333333333,1,rrg,152,0.09998369,0.12355857,0.090251885,44,0.094433576,0.007849078,0,2.2216854,1.5783021,2.3402603
sequential,ov,0.1,0.3,0.26666666666666666,1,rrg,150,0.05163973,0.11977036,0.08406464,55,0.123069935,0.1256066,0,2.3524091,1.5817027,1.5531816
sequential,ov,0.1,0.3,0.27,1,rrg,176,0.099983715,0.116563655,0.10331713,31,0.0880818,0.016831864,1,1.2954513,1.3924444,0.98487926
sequential,ov,0.1,0.3,0.2733333333333333,1,rrg,231,0.09998373,0.14273116,0.13202597,19,0.39969066,0.42384967,0,1.9925535,1.5557617,0.8040288
sequential,ov,0.1,0.3,0.27666666666666667,1,rrg,113,0.09998371,0.11662484,0.06284283,42,0.10156843,0.015576198,0,2.3487167,1.4461129,1.065466
sequential,ov,0.1,0.3,0.28,1,rrg,267,0.09998368,0.112619005,0.07991266,44,0.099983715,2.3164796e-08,0,1.9525347,1.4525982,1.3915583
sequential,ov,0.1,0.3,0.2833333333333333,1,rrg,168,0.46955842,0.14047575,0.12810345,3,0.13172458,0.04488838,0,0.7132938,1.5926636,1.9337517
sequential,ov,0.1,0.3,0.2866666666666667,1,rrg,253,0.09998373,0.105409555,0.051000565,11,0.08631144,0.019335434,0,2.327084,1.6220059,1.0081731
sequential,ov,0.1,0.3,0.29,1,rrg,109,0.09998372,0.11551101,0.10529816,24,0.040059235,0.043154854,0,2.1961954,1.5208853,0.14989983
sequential,ov,0.1,0.3,0.29333333333333333,1,rrg,209,0.09998377,0.13052326,0.12482832,16,0.10194605,0.002775126,0,2.403869,1.4325478,1.9654855
sequential,ov,0.1,0.3,0.2966666666666667,1,rrg,137,0.32360005,0.118127555,0.0897101,4,0.111129075,0.10387373,1,2.1216915,1.6129555,1.5885047
sequential,ov,0.1,0.3,0.3,1,rrg,149,0.32819065,0.11299959,0.07622623,3,0.14068331,0.011614687,0,1.6245602,1.5455881,1.8836226
sequential,ov,0.1,0.3,0.30333333333333334,1,rrg,164,0.099983744,0.11516361,0.10649305,14,0.16705096,0.0948474,0,1.4776409,1.4411572,1.0551367
sequential,ov,0.1,0.3,0.30666666666666664,1,rrg,47,0.7722594,0.1274275,0.12109646,1,0.21236075,0.2352864,0,0.54231155,1.3862125,1.1742423
sequential,ov,0.1,0.3,0.31,1,rrg,280,0.09998374,0.09852196,0.058592416,12,0.099983715,2.1933916e-08,0,2.1559794,1.5604116,1.1345142
sequential,ov,0.1,0.3,0.31333333333333335,1,rrg,161,0.0696179,0.11418774,0.10763591,49,8.281029e-05,2.022428e-06,0,0.26184884,1.3391578,0.009471809
sequential,ov,0.1,0.3,0.31666666666666665,1,rrg,295,0.09998373,0.104862936,0.08014727,14,0.06671748,0.047045518,1,2.285525,1.4646846,0.8923917
sequential,ov,0.1,0.3,0.32,1,rrg,163,0.1305566,0.1021943,0.06483268,7,0.086018436,0.019749913,0,0.39580625,1.3469905,1.6170663
sequential,ov,0.1,0.3,0.3233333333333333,1,rrg,254,0.09998372,0.1189961,0.093643524,30,0.100200765,0.0138616515,0,2.4294758,1.590337,2.4507835
sequential,ov,0.1,0.3,0.32666666666666666,1,rrg,211,0.099983715,0.11996285,0.119637676,27,0.099983715,1.6095093e-08,0,1.8299692,1.5115085,1.4118844
sequential,ov,0.1,0.3,0.33,1,rrg,95,0.09998367,0.123111375,0.10689682,41,0.082051955,0.025359316,0,1.1172296,1.4857807,0.7323876
sequential,ov,0.1,0.3,0.3333333333333333,1,rrg,183,0.09998369,0.1399317,0.13164692,48,0.100450195,0.0006597053,0,2.2216854,1.4431657,2.4555387
sequential,ov,0.1,0.3,0.33666666666666667,1,rrg,182,0.09998372,0.12906219,0.093285315,27,0.06713416,0.035342548,0,2.4592493,1.4684908,1.7446829
sequential,ov,0.1,0.3,0.34,1,rrg,88,0.87162584,0.12140633,0.116051495,1,0.06876985,0.053315524,0,0.40111086,1.4795314,1.4204553
sequential,ov,0.1,0.3,0.3433333333333333,1,rrg,288,0.09998372,0.122380584,0.09490819,25,6.563049e-05,4.904375e-06,0,1.7441436,1.5912699,0.00767306
sequential,ov,0.1,0.3,0.3466666666666667,1,rrg,264,0.09998373,0.11840154,0.09564376,17,0.07147377,0.05082691,0,2.1364734,1.5238264,0.23532897
sequential,ov,0.1,0.3,0.35,1,rrg,191,0.09998373,0.10511274,0.062086463,15,0.08808961,0.008466415,0,2.3665977,1.4938761,1.1864101
sequential,ov,0.1,0.3,0.35333333333333333,1,rrg,180,0.09998374,0.11759817,0.0795739,16,0.13230374,0.03829812,0,1.417922,1.4579151,0.39281523
sequential,ov,0.1,0.3,0.3566666666666667,1,rrg,27,0.5131792,0.09948396,0.07087499,1,0.098574914,0.0844297,0,0.69933915,1.5525582,1.3481884
sequential,ov,0.1,0.3,0.36,1,rrg,73,0.15916945,0.11017001,0.06910434,7,0.11021476,0.08351942,0,2.1515439,1.4741657,0.92732364
sequential,ov,0.1,0.3,0.36333333333333334,1,rrg,71,0.106846295,0.11901543,0.11280932,12,0.086671375,0.018826503,0,0.34825525,1.5454793,1.9546995
sequential,ov,0.1,0.3,0.36666666666666664,1,rrg,244,0.09998372,0.10785316,0.07627596,20,0.051491484,0.03887045,0,2.379831,1.517452,1.4309572
sequential,ov,0.1,0.3,0.37,1,rrg,278,0.099983715,0.12009286,0.06698959,34,0.0988763,0.0015661119,0,2.4341667,1.6738725,1.182192
sequential,ov,0.1,0.3,0.37333333333333335,1,rrg,2,0.7894346,0.12304886,0.11132719,1,0.06826355,0.044859085,0,0.5219121,1.5166796,1.5039839
sequential,ov,0.1,0.3,0.37666666666666665,1,rrg,7,0.09262065,0.11446178,0.0770342,46,0.03758523,0.044359952,0,0.37593246,1.5471233,0.529653
sequential,ov,0.1,0.3,0.38,1,rrg,291,0.09998373,0.10565611,0.086722136,11,0.03162962,0.023456367,0,2.2286077,1.5548617,1.4045378
sequential,ov,0.1,0.3,0.38333333333333336,1,rrg,165,0.06190617,0.104504675,0.07263093,49,0.047218367,0.050595134,0,0.911468,1.4765457,0.1677966
sequential,ov,0.1,0.3,0.38666666666666666,1,rrg,86,0.7611347,0.1080102,0.10343327,1,0.046542156,0.04097782,0,0.5764388,1.4605534,1.5551586
sequential,ov,0.1,0.3,0.39,1,rrg,48,0.6090207,0.12454198,0.111149974,1,0.033390786,0.047088303,0,0.67564654,1.5513126,0.7848442
sequential,ov,0.1,0.3,0.3933333333333333,1,rrg,233,0.09998368,0.11283617,0.08980069,41,0.09998369,3.0416867e-08,0,1.8728163,1.5476974,2.3558342
sequential,ov,0.1,0.3,0.39666666666666667,1,rrg,174,0.099983715,0.11535509,0.09112169,32,0.07747709,0.01723222,0,2.4282238,1.6026895,1.4435396
sequential,ov,0.1,0.3,0.4,1,rrg,256,0.09998374,0.117383525,0.10058665,20,0.14430988,0.062686644,0,2.1519003,1.6126505,0.98924845
sequential,ov,0.1,0.3,0.4033333333333333,1,rrg,141,0.09998372,0.112511635,0.0801812,21,0.14333765,0.07340076,1,2.4578283,1.5812302,2.3077943
sequential,ov,0.1,0.3,0.4066666666666667,1,rrg,41,0.4205059,0.11591853,0.09722434,2,0.07033736,0.049835853,0,0.689258,1.5018817,1.2699672
sequential,ov,0.1,0.3,0.41,1,rrg,234,0.09996745,0.11912601,0.07605707,31,0.076901175,0.055053826,1,2.4060106,1.5952655,0.9632051
sequential,ov,0.1,0.3,0.41333333333333333,1,rrg,236,0.099967465,0.105830595,0.07947934,15,0.06669918,0.04704835,1,2.2672493,1.6377614,1.3545822
sequential,ov,0.1,0.3,0.4166666666666667,1,rrg,16,0.08611579,0.10889867,0.07354844,50,0.0850417,0.02110819,0,0.30913532,1.5676554,1.3879198
sequential,ov,0.1,0.3,0.42,1,rrg,135,0.09996746,0.11093668,0.08690784,21,0.061154515,0.043659046,0,2.22291,1.5410113,1.5414757
sequential,ov,0.1,0.3,0.42333333333333334,1,rrg,1,0.114600055,0.11189769,0.09479346,13,0.13228661,0.045706205,0,0.37165192,1.4982456,1.8096052
sequential,ov,0.1,0.3,0.4266666666666667,1,rrg,26,0.20775092,0.10942852,0.074211456,7,0.06672316,0.04701453,0,0.5264062,1.4085933,0.93686295
sequential,ov,0.1,0.3,0.43,1,rrg,223,0.09996745,0.122257814,0.090763524,34,0.06368397,0.031805422,0,2.4620824,1.7007082,1.0558621
sequential,ov,0.1,0.3,0.43333333333333335,1,rrg,203,0.1646704,0.10303385,0.06574455,5,0.09063878,0.050363403,1,2.4367344,1.5267645,2.4428298
sequential,ov,0.1,0.3,0.43666666666666665,1,rrg,204,0.091656834,0.114779495,0.09379625,44,0.34198332,0.4641571,0,1.6780832,1.380463,0.72043365
sequential,ov,0.1,0.3,0.44,1,rrg,52,0.09489813,0.13663052,0.11420878,49,0.07982296,0.058542196,0,2.2403867,1.528445,1.612326
sequential,ov,0.1,0.3,0.44333333333333336,1,rrg,205,0.09996745,0.11178816,0.08225965,30,0.06668799,0.047064282,0,1.1449102,1.5746163,0.23181973
sequential,ov,0.1,0.3,0.44666666666666666,1,rrg,258,0.004277363,0.1110433,0.07651284,60,0.046500612,0.041103527,0,0.22639817,1.6023278,0.72374195
sequential,ov,0.1,0.3,0.45,1,rrg,111,0.09998372,0.1136613,0.08230854,28,0.1126832,0.085855335,0,2.2452178,1.673136,1.2010757
sequential,ov,0.1,0.3,0.4533333333333333,1,rrg,21,0.9242421,0.13414986,0.13635491,1,0.09264486,0.07176653,0,0.2746569,1.514427,1.1699514
sequential,ov,0.1,0.3,0.45666666666666667,1,rrg,232,0.09998375,0.10771562,0.0752602,14,0.14622356,0.14201064,1,2.2178383,1.4717604,1.0285081
sequential,ov,0.1,0.3,0.46,1,rrg,77,0.15916932,0.11859135,0.084695205,9,0.066682935,0.04709441,0,1.1567733,1.6520958,0.22540003
sequential,ov,0.1,0.3,0.4633333333333333,1,rrg,213,0.09998373,0.10585748,0.09175373,14,0.14442176,0.07492744,0,2.2880783,1.5576538,2.2871554
sequential,ov,0.1,0.3,0.4666666666666667,1,rrg,66,0.06529203,0.11523289,0.081966124,47,0.06668295,0.04709442,0,0.25392848,1.6007988,1.4751412
sequential,ov,0.1,0.3,0.47,1,rrg,104,0.04311567,0.10057189,0.081129126,46,0.06624257,0.04676638,0,1.7486384,1.5202088,1.4381949
sequential,ov,0.1,0.3,0.47333333333333333,1,rrg,6,0.118532866,0.104541905,0.06661863,12,0.03343055,0.047060207,0,0.38020644,1.6675751,0.78323245
sequential,ov,0.1,0.3,0.4766666666666667,1,rrg,270,0.0999837,0.11048925,0.068134606,43,0.08888344,0.007849087,0,2.4723332,1.7697841,2.2114687
sequential,ov,0.1,0.3,0.48,1,rrg,51,0.32103744,0.11031957,0.09098778,6,0.3666192,0.44906545,0,0.63581043,1.5283337,0.7984369
sequential,ov,0.1,0.3,0.48333333333333334,1,rrg,28,0.5250827,0.12216351,0.087549426,1,0.06672644,0.0470099,0,0.7078054,1.6588734,1.5192599
sequential,ov,0.1,0.3,0.4866666666666667,1,rrg,99,0.16139388,0.118503556,0.094382636,11,0.067523636,0.047643226,0,0.8849436,1.6227558,0.90777016
sequential,ov,0.1,0.3,0.49,1,rrg,110,0.2294488,0.11735556,0.09291127,5,0.1431691,0.037085567,0,1.0950104,1.6227448,1.5771198
sequential,ov,0.1,0.3,0.49333333333333335,1,rrg,12,0.871009,0.13214684,0.13943318,1,0.0674691,0.04598262,0,0.3912716,1.6498036,1.4961773
sequential,ov,0.1,0.3,0.49666666666666665,1,rrg,257,0.09996743,0.12386677,0.10078699,43,0.09996743,3.7003716e-08,0,1.4072655,1.6128305,1.1201204
sequential,ov,0.1,0.3,0.5,1,rrg,54,0.02778761,0.13030155,0.11764655,53,0.027832942,0.039244708,0,2.136858,1.5968969,0.83461183
sequential,ov,0.1,0.3,0.5033333333333333,1,rrg,9,0.989929,0.12930855,0.14306661,1,0.030080311,0.042129427,0,0.06856744,1.6367613,0.66652054
sequential,ov,0.1,0.3,0.5066666666666667,1,rrg,188,0.09996745,0.12925851,0.10177712,32,0.09741468,0.078384496,1,2.239558,1.5852367,0.9562871
sequential,ov,0.1,0.3,0.51,1,rrg,228,0.099967346,0.11161878,0.070742935,49,0.67386466,0.45869327,0,1.6985183,1.7659899,0.71476245
sequential,ov,0.1,0.3,0.5133333333333333,1,rrg,55,0.19211332,0.12282503,0.13037787,8,0.33284512,0.47048387,0,0.5047494,1.5322074,0.017406426
sequential,ov,0.1,0.3,0.5166666666666667,1,rrg,202,0.0024355028,0.12250816,0.110519424,60,0.0100446865,0.007971241,0,1.0228746,1.566628,1.1220124
sequential,ov,0.1,0.3,0.52,1,rrg,14,0.16456443,0.1357838,0.14487906,11,0.08825853,0.067622304,0,0.46249157,1.7146169,1.140941
sequential,ov,0.1,0.3,0.5233333333333333,1,rrg,216,0.09996745,0.11898084,0.08852539,29,0.15990762,0.12133706,0,2.0981386,1.6753268,1.7391704
sequential,ov,0.1,0.3,0.5266666666666666,1,rrg,294,0.09996744,0.124469794,0.13581166,36,0.085928224,0.019854473,0,1.9606559,1.5423378,0.8049745
sequential,ov,0.1,0.3,0.53,1,rrg,298,0.09998373,0.11531647,0.095490575,19,0.3036798,0.2255481,0,2.222937,1.5861797,0.7819252
sequential,ov,0.1,0.3,0.5333333333333333,1,rrg,65,0.15536144,0.12061088,0.13429655,11,0.066682935,0.04709441,0,0.44023663,1.5090314,1.5541811
sequential,ov,0.1,0.3,0.5366666666666666,1,rrg,58,0.5612723,0.11655859,0.09271132,1,0.033379495,0.047096312,0,0.692428,1.7138718,0.7842609
sequential,ov,0.1,0.3,0.54,1,rrg,208,0.09998372,0.1411973,0.16839582,22,0.024826271,0.034994557,0,2.0851731,1.6664417,0.7177119
sequential,ov,0.1,0.3,0.5433333333333333,1,rrg,199,0.33430955,0.12909979,0.16547367,4,0.055567313,0.039267097,1,2.2146986,1.5769044,1.6580591
sequential,ov,0.1,0.3,0.5466666666666666,1,rrg,80,0.308036,0.13359119,0.14258927,6,0.17275806,0.068585664,0,2.1369777,1.7378227,2.2781885
sequential,ov,0.1,0.3,0.55,1,rrg,119,0.46374455,0.13959843,0.15073381,2,0.028909914,0.04077783,1,1.8467106,1.6264477,0.50485593
sequential,ov,0.1,0.3,0.5533333333333333,1,rrg,70,0.0146587035,0.11312066,0.09372817,56,0.033599183,0.046941712,0,0.08241621,1.6550051,0.3702892
sequential,ov,0.1,0.3,0.5566666666666666,1,rrg,3,0.06647581,0.12733203,0.13578364,47,0.36611745,0.44880968,0,0.26013815,1.6945438,0.8340388
sequential,ov,0.1,0.3,0.56,1,rrg,140,0.023492083,0.12719883,0.13535792,56,0.33272776,0.47017103,0,2.1879306,1.6530814,0.025288595
sequential,ov,0.1,0.3,0.5633333333333334,1,rrg,184,0.3259495,0.098902486,0.06863377,2,0.040192705,0.034019616,0,2.1152282,1.7397507,1.6126537
sequential,ov,0.1,0.3,0.5666666666666667,1,rrg,68,0.16359484,0.1329019,0.13710229,9,0.04574329,0.04123385,0,1.7707736,1.5882659,0.70928043
sequential,ov,0.1,0.3,0.57,1,rrg,15,0.093528755,0.13899042,0.14378671,46,0.089663416,0.12668519,0,0.3190237,1.6336666,0.3187889
sequential,ov,0.1,0.3,0.5733333333333334,1,rrg,287,0.09998372,0.1454363,0.15260398,29,0.111597724,0.016424643,0,2.3337333,1.6677935,1.7346178
sequential,ov,0.1,0.3,0.5766666666666667,1,rrg,96,0.20088844,0.10331481,0.0755441,7,0.11569711,0.011602156,0,0.5103563,1.688225,1.5163275
sequential,ov,0.1,0.3,0.58,1,rrg,177,0.56286573,0.12209615,0.103214905,1,0.09566876,0.12265929,0,0.9304472,1.7319518,1.3321968
sequential,ov,0.1,0.3,0.5833333333333334,1,rrg,29,0.099983655,0.13116857,0.14153422,43,0.37556875,0.44189513,0,0.49056497,1.636706,0.82016915
sequential,ov,0.1,0.3,0.5866666666666667,1,rrg,0,0.93971574,0.13039866,0.14272735,1,0.0010239929,0.0011605858,0,0.3079397,1.8097619,0.08171737
sequential,ov,0.1,0.3,0.59,1,rrg,60,0.24918512,0.10042284,0.0791999,4,0.12857752,0.18169849,0,0.5748002,1.7374967,0.4483373
sequential,ov,0.1,0.3,0.5933333333333334,1,rrg,24,0.12783735,0.11166097,0.095594205,9,0.4193544,0.41065207,0,0.39050302,1.6972681,1.1397218
sequential,ov,0.1,0.3,0.5966666666666667,1,rrg,153,0.099983715,0.12329743,0.14071448,39,0.18781525,0.062106255,0,2.4371624,1.7341796,2.1532223
sequential,ov,0.1,0.3,0.6,1,rrg,144,0.04640217,0.11210585,0.09420444,50,0.013654011,0.0017946761,0,1.8220578,1.8580488,1.3400608
sequential,ov,0.1,0.3,0.6033333333333334,1,rrg,134,0.06696472,0.12713163,0.0931936,52,0.06671014,0.047055967,0,0.25413615,1.9910237,1.4844913
sequential,ov,0.1,0.3,0.6066666666666667,1,rrg,98,0.09996745,0.11167979,0.09692203,30,0.4749621,0.38491765,0,2.3615553,1.9166665,1.05356
sequential,ov,0.1,0.3,0.61,1,rrg,56,0.12053632,0.1132484,0.13246748,10,0.073078886,0.10234001,0,1.8537223,1.7711674,0.7617684
sequential,ov,0.1,0.3,0.6133333333333333,1,rrg,4,0.0009330463,0.100740105,0.08789215,60,0.024676204,0.03477283,0,0.02369003,1.7453392,0.10502118
sequential,ov,0.1,0.3,0.6166666666666667,1,rrg,186,0.03395235,0.101363376,0.08605007,50,0.061154515,0.04365905,0,2.186473,1.8336446,1.6475831
sequential,ov,0.1,0.3,0.62,1,rrg,22,0.12028235,0.11726217,0.13784263,10,0.08131755,0.060083948,0,2.2777047,1.7528225,1.4654732
sequential,ov,0.1,0.3,0.6233333333333333,1,rrg,158,0.09996746,0.11144082,0.08685506,18,0.084145464,0.0011485368,0,2.4147675,1.8430829,2.1749036
sequential,ov,0.1,0.3,0.6266666666666667,1,rrg,139,0.099967405,0.1075856,0.12924057,39,0.38561404,0.43349868,0,0.64286226,1.7810315,0.86483574
sequential,ov,0.1,0.3,0.63,1,rrg,289,0.099967465,0.10149823,0.0935048,13,0.030999908,0.04355139,0,2.2701185,1.8013986,0.69849247
sequential,ov,0.1,0.3,0.6333333333333333,1,rrg,227,0.063752525,0.11965291,0.14213179,42,0.31399664,0.44380894,1,1.4735708,1.7714729,0.09441453
sequential,ov,0.1,0.3,0.6366666666666667,1,rrg,296,0.099967465,0.12602158,0.1692485,14,0.36611333,0.44881302,0,2.0071948,1.8704114,0.78066117
sequential,ov,0.1,0.3,0.64,1,rrg,59,0.110122554,0.122385606,0.14159304,13,0.032396782,0.03429924,0,2.2345998,1.7250105,1.4303699
sequential,ov,0.1,0.3,0.6433333333333333,1,rrg,106,0.09996746,0.1199553,0.14372101,16,0.065039456,0.040353708,0,2.460967,1.8300099,1.5343024
sequential,ov,0.1,0.3,0.6466666666666666,1,rrg,286,0.09996747,0.10484924,0.13954264,9,0.06669922,0.047048386,1,2.225356,1.6729175,1.4579697
sequential,ov,0.1,0.3,0.65,1,rrg,252,0.09996745,0.109453484,0.14013952,27,0.08431224,0.015497798,0,2.3823714,1.715381,1.4613752
sequential,ov,0.1,0.3,0.6533333333333333,1,rrg,279,0.099967465,0.10106145,0.08516687,13,0.025015628,0.027407635,0,2.1991088,1.7888839,0.663153
sequential,ov,0.1,0.3,0.6566666666666666,1,rrg,102,0.105583906,0.11147921,0.13555746,13,0.37616467,0.44304055,0,2.2848015,1.7776676,0.825432
sequential,ov,0.1,0.3,0.66,1,rrg,235,0.28641364,0.13302904,0.149974,10,0.114061415,0.16088489,1,1.7782912,1.6688956,0.71006584
sequential,ov,0.1,0.3,0.6633333333333333,1,rrg,192,0.01646726,0.09507319,0.08624739,53,0.33281302,0.47050655,0,1.578921,1.5982316,0.014267894
