method,metric,delta,lambda,rho,sim,graph,selected_sensor,p_inf_selected,cand_mean_p_inf,cand_std_p_inf,rank_in_candidates,neigh_mean_p_inf,neigh_std_p_inf,true_state_t0,entropy_selected,entropy_cand_mean,entropy_neigh_mean
sequential,ov,0.1,0.3,0.9033333333333333,0,rrg,52,0.53640693,0.085278526,0.105302386,1,0.01399126,0.019584486,1,1.4837648,1.6623368,0.6067583
sequential,ov,0.1,0.3,0.9066666666666666,0,rrg,182,0.029454835,0.06916681,0.06290126,20,0.033390183,0.04707727,0,1.6468173,1.6687145,0.60068554
sequential,ov,0.1,0.3,0.91,0,rrg,59,0.0028720954,0.07063762,0.06358093,26,0.33285165,0.47047925,0,0.03823191,1.6661491,0.018030884
sequential,ov,0.1,0.3,0.9133333333333333,0,rrg,62,0.015809326,0.07324398,0.063360885,21,0.027207121,0.018525923,0,2.239298,1.7287614,1.6621574
sequential,ov,0.1,0.3,0.9166666666666666,0,rrg,193,0.067417584,0.075541385,0.06354494,15,0.013268244,0.010600237,0,2.4552553,1.7083398,1.366157
sequential,ov,0.1,0.3,0.92,0,rrg,71,0.06739099,0.07587987,0.064833194,15,0.3626169,0.4509087,0,1.6858906,1.6772184,0.8392741
sequential,ov,0.1,0.3,0.9233333333333333,0,rrg,199,0.03949003,0.076248944,0.06620293,16,0.3328512,0.47047952,0,1.2113929,1.6768414,0.01799204
sequential,ov,0.1,0.3,0.9266666666666666,0,rrg,201,0.09996746,0.07758898,0.06727957,5,0.6987956,0.42343548,0,0.3406641,1.6972072,0.81131417
sequential,ov,0.1,0.3,0.93,0,rrg,78,0.005082422,0.07652334,0.0686812,20,0.03342944,0.047049496,0,0.047730528,1.7644217,0.63219315
sequential,ov,0.1,0.3,0.9333333333333333,0,rrg,206,0.09996745,0.080095395,0.06844715,8,0.008706109,0.012173958,0,2.0522556,1.8474251,0.7811236
sequential,ov,0.1,0.3,0.9366666666666666,0,rrg,208,0.099967465,0.07904949,0.07006935,3,0.00016276042,1.4551915e-11,1,1.8790896,1.8366444,0.01740641
sequential,ov,0.1,0.3,0.94,0,rrg,224,0.060022242,0.07788738,0.071810976,12,0.33288,0.47045916,0,1.4649606,1.8342863,0.020686843
sequential,ov,0.1,0.3,0.9433333333333334,0,rrg,226,0.09996745,0.07893827,0.07375825,7,0.015993593,0.018340742,0,1.6095101,1.8560115,1.1470666
sequential,ov,0.1,0.3,0.9466666666666667,0,rrg,100,0.08418673,0.07762394,0.07583489,8,0.33289027,0.4704519,0,1.858094,1.8714179,0.021574987
sequential,ov,0.1,0.3,0.95,0,rrg,229,0.099967465,0.073911026,0.07907522,3,0.36082265,0.45250595,0,1.8057326,1.8774185,0.8376079
sequential,ov,0.1,0.3,0.9533333333333334,0,rrg,231,0.014825749,0.072049834,0.081532545,12,0.0023556284,0.0031208745,0,2.1060863,1.8825389,0.68726873
sequential,ov,0.1,0.3,0.9566666666666667,0,rrg,232,0.09996746,0.076451674,0.08299181,2,0.013994615,0.019595906,0,1.838476,1.865343,0.606623
sequential,ov,0.1,0.3,0.96,0,rrg,105,0.33048183,0.07449204,0.08609115,1,0.05586751,0.078778416,0,2.1524432,1.867582,0.8277125
sequential,ov,0.1,0.3,0.9633333333333334,0,rrg,112,0.0155452965,0.05122024,0.039831612,9,0.044722978,0.06305458,0,1.512353,1.8416855,0.47120282
sequential,ov,0.1,0.3,0.9666666666666667,0,rrg,241,0.032416508,0.054787733,0.040065143,6,0.04517603,0.06373466,0,2.158712,1.8746189,0.44863582
sequential,ov,0.1,0.3,0.97,0,rrg,210,0.09996746,0.05727342,0.041494418,2,0.017497534,0.00798715,0,2.4147675,1.843053,2.2380435
sequential,ov,0.1,0.3,0.9733333333333334,0,rrg,213,0.005206822,0.051936667,0.040996116,7,0.33281392,0.4705059,0,2.00819,1.7715888,0.01429079
