method,metric,delta,lambda,rho,sim,graph,selected_sensor,p_inf_selected,cand_mean_p_inf,cand_std_p_inf,rank_in_candidates,neigh_mean_p_inf,neigh_std_p_inf,true_state_t0,entropy_selected,entropy_cand_mean
random,N/A,0.2,0.3,1.0,3,rrg,0,0.08333332,,,1,0.08333332,0.0,0,1.2424533,
random,N/A,0.3,0.3,0.2,3,rrg,2,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,1.2424533,1.2424533367156982
random,N/A,0.3,0.3,0.30000000000000004,3,rrg,1,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,1.2424533,1.2424533367156982
random,N/A,0.3,0.3,0.4,3,rrg,3,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,1.2424533,1.2424533367156982
random,N/A,0.3,0.3,0.5,3,rrg,2,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,1.2424533,1.2424533367156982
random,N/A,0.3,0.3,0.6000000000000001,3,rrg,0,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,1.2424533,1.2424533367156982
random,N/A,0.3,0.3,0.7000000000000001,3,rrg,0,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,1.2424533,1.2424533367156982
random,N/A,0.3,0.3,0.8,3,rrg,0,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,1.2424533,1.2424533367156982
random,N/A,0.3,0.3,0.9,3,rrg,0,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,1.2424533,1.2424533367156982
random,N/A,0.3,0.3,1.0,3,rrg,0,0.08333332,,,1,0.08333332,0.0,0,1.2424533,
random,N/A,0.1,0.3,0.2,4,rrg,5,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,1.2424533,1.2424533367156982
random,N/A,0.1,0.3,0.30000000000000004,4,rrg,2,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,1.2424533,1.2424533367156982
random,N/A,0.1,0.3,0.4,4,rrg,1,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,1.2424533,1.2424533367156982
random,N/A,0.1,0.3,0.5,4,rrg,1,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,1.2424533,1.2424533367156982
random,N/A,0.1,0.3,0.6000000000000001,4,rrg,0,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,1.2424533,1.2424533367156982
random,N/A,0.1,0.3,0.7000000000000001,4,rrg,1,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,1.2424533,1.2424533367156982
random,N/A,0.1,0.3,0.8,4,rrg,1,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,1.2424533,1.2424533367156982
random,N/A,0.1,0.3,0.9,4,rrg,0,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,1.2424533,1.2424533367156982
random,N/A,0.1,0.3,1.0,4,rrg,0,0.08333332,,,1,0.08333332,0.0,0,1.2424533,
random,N/A,0.2,0.3,0.2,4,rrg,5,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,1.2424533,1.2424533367156982
random,N/A,0.2,0.3,0.30000000000000004,4,rrg,3,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,1.2424533,1.2424533367156982
random,N/A,0.2,0.3,0.4,4,rrg,2,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,1.2424533,1.2424533367156982
random,N/A,0.2,0.3,0.5,4,rrg,0,0.08333332,0.08333332,0.0,1,0.08333332,0.0,1,1.2424533,1.2424533367156982
random,N/A,0.2,0.3,0.6000000000000001,4,rrg,1,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,1.2424533,1.2424533367156982
random,N/A,0.2,0.3,0.7000000000000001,4,rrg,1,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,1.2424533,1.2424533367156982
random,N/A,0.2,0.3,0.8,4,rrg,2,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,1.2424533,1.2424533367156982
random,N/A,0.2,0.3,0.9,4,rrg,0,0.08333332,0.08333332,0.0,1,0.08333332,0.0,1,1.2424533,1.2424533367156982
random,N/A,0.2,0.3,1.0,4,rrg,0,0.08333332,,,1,0.08333332,0.0,1,1.2424533,
random,N/A,0.3,0.3,0.2,4,rrg,0,0.08333332,0.08333332,0.0,1,0.08333332,0.0,1,1.2424533,1.2424533367156982
random,N/A,0.3,0.3,0.30000000000000004,4,rrg,5,0.08333332,0.08333332,0.0,1,0.08333332,0.0,0,1.2424533,1.2424533367156982
random,N/A,0.3,0.3,0.4,4,rrg,2,0.08333332,0.08333332,0.0,1,0.08333332,0.0,1,1.2424533,1.2424533367156982
random,N/A,0.3,0.3,0.5,4,rrg,0,0.08333332,0.08333332,0.0,1,0.08333332,0.0,1,1.2424533,1.2424533367156982
random,N/A,0.3,0.3,0.6000000000000001,4,rrg,2,0.08333332,0.08333332,0.0,1,0.08333332,0.0,1,1.2424533,1.2424533367156982
random,N/A,0.3,0.3,0.7000000000000001,4,rrg,1,0.08333332,0.08333332,0.0,1,0.08333332,0.0,1,1.2424533,1.2424533367156982
random,N/A,0.3,0.3,0.8,4,rrg,2,0.08333332,0.08333332,0.0,1,0.08333332,0.0,1,1.2424533,1.2424533367156982
random,N/A,0.3,0.3,0.9,4,rrg,0,0.08333332,0.08333332,0.0,1,0.08333332,0.0,1,1.2424533,1.2424533367156982
random,N/A,0.3,0.3,1.0,4,rrg,0,0.08333332,,,1,0.08333332,0.0,1,1.2424533,
