sim,method,graph_kind,N,d,delta,lam,rho,k,subset_size,mean_pairwise_distance,boundary_size,density,mean_degree,degree_bias
0,MCMCsubsetOV,rrg,200,3,0.3,0.3,0.1,20,20,5.810526315789474,48,0.010526315789473684,3.0,1.0
1,MCMCsubsetOV,rrg,200,3,0.3,0.3,0.1,20,20,5.731578947368421,49,0.015789473684210527,3.0,1.0
2,MCMCsubsetOV,rrg,200,3,0.3,0.3,0.1,20,20,5.984210526315789,51,0.015789473684210527,3.0,1.0
3,MCMCsubsetOV,rrg,200,3,0.3,0.3,0.1,20,20,5.773684210526316,50,0.015789473684210527,3.0,1.0
4,MCMCsubsetOV,rrg,200,3,0.3,0.3,0.1,20,20,5.910526315789474,53,0.010526315789473684,3.0,1.0
0,MCMCsubsetOV,rrg,200,3,0.3,0.3,0.2,40,40,5.825641025641025,76,0.015384615384615385,3.0,1.0
1,MCMCsubsetOV,rrg,200,3,0.3,0.3,0.2,40,40,5.88974358974359,81,0.015384615384615385,3.0,1.0
2,MCMCsubsetOV,rrg,200,3,0.3,0.3,0.2,40,40,5.735897435897436,77,0.01282051282051282,3.0,1.0
3,MCMCsubsetOV,rrg,200,3,0.3,0.3,0.2,40,40,5.847435897435897,71,0.023076923076923078,3.0,1.0
4,MCMCsubsetOV,rrg,200,3,0.3,0.3,0.2,40,40,5.923076923076923,76,0.020512820512820513,3.0,1.0
0,MCMCsubsetOV,rrg,200,3,0.3,0.3,0.30000000000000004,60,60,5.861016949152543,93,0.015819209039548022,3.0,1.0
1,MCMCsubsetOV,rrg,200,3,0.3,0.3,0.30000000000000004,60,60,5.716949152542373,92,0.015819209039548022,3.0,1.0
2,MCMCsubsetOV,rrg,200,3,0.3,0.3,0.30000000000000004,60,60,5.800564971751412,100,0.014124293785310734,3.0,1.0
3,MCMCsubsetOV,rrg,200,3,0.3,0.3,0.30000000000000004,60,60,5.877966101694915,88,0.015819209039548022,3.0,1.0
4,MCMCsubsetOV,rrg,200,3,0.3,0.3,0.30000000000000004,60,60,5.794915254237288,96,0.014689265536723164,3.0,1.0
0,MCMCsubsetOV,rrg,200,3,0.3,0.3,0.4,80,80,5.659177215189874,94,0.01360759493670886,3.0,1.0
1,MCMCsubsetOV,rrg,200,3,0.3,0.3,0.4,80,80,5.815822784810127,92,0.016455696202531647,3.0,1.0
2,MCMCsubsetOV,rrg,200,3,0.3,0.3,0.4,80,80,5.890822784810126,95,0.013924050632911392,3.0,1.0
3,MCMCsubsetOV,rrg,200,3,0.3,0.3,0.4,80,80,5.8386075949367084,97,0.014873417721518987,3.0,1.0
4,MCMCsubsetOV,rrg,200,3,0.3,0.3,0.4,80,80,5.824683544303798,88,0.018037974683544303,3.0,1.0
