sim,method,graph_kind,N,d,delta,lam,rho,k,subset_size,mean_pairwise_distance,boundary_size,density,mean_degree,degree_bias
0,bp_it_entropy,rrg,600,3,0.3,0.3,0.2,120,120,7.328851540616246,251,0.004201680672268907,3.0,1.0
0,bp_it_entropy,rrg,600,3,0.3,0.3,0.3,180,180,7.3506517690875235,308,0.0036002482929857233,3.0,1.0
0,bp_it_entropy,rrg,600,3,0.3,0.3,0.4,240,240,7.3376220362622036,311,0.003905160390516039,3.0,1.0
1,bp_it_entropy,rrg,600,3,0.3,0.3,0.2,120,120,7.298459383753501,269,0.0033613445378151263,3.0,1.0
1,bp_it_entropy,rrg,600,3,0.3,0.3,0.3,180,180,7.320049658597145,328,0.002855369335816263,3.0,1.0
1,bp_it_entropy,rrg,600,3,0.3,0.3,0.4,240,240,7.313702928870293,325,0.00394002789400279,3.0,1.0
2,bp_it_entropy,rrg,600,3,0.3,0.3,0.2,120,120,7.320728291316526,279,0.0029411764705882353,3.0,1.0
2,bp_it_entropy,rrg,600,3,0.3,0.3,0.3,180,180,7.335071384233395,319,0.0036623215394165115,3.0,1.0
2,bp_it_entropy,rrg,600,3,0.3,0.3,0.4,240,240,7.328207810320781,320,0.00400976290097629,3.0,1.0
