sim,method,graph_kind,N,d,delta,lam,rho,k,subset_size,mean_pairwise_distance,boundary_size,density,mean_degree,degree_bias
0,bp_it_entropy,rrg,350,3,0.3,0.3,0.2,70,70,6.254658385093168,92,0.015734989648033125,3.0,1.0
0,bp_it_entropy,rrg,350,3,0.3,0.3,0.3,105,105,6.4051282051282055,127,0.011538461538461539,3.0,1.0
0,bp_it_entropy,rrg,350,3,0.3,0.3,0.4,140,140,6.454059609455293,147,0.010174717368961974,3.0,1.0
1,bp_it_entropy,rrg,350,3,0.3,0.3,0.2,70,70,6.489855072463768,96,0.018633540372670808,3.0,1.0
1,bp_it_entropy,rrg,350,3,0.3,0.3,0.3,105,105,6.488827838827839,126,0.013003663003663004,3.0,1.0
1,bp_it_entropy,rrg,350,3,0.3,0.3,0.4,140,140,6.4797533401849945,141,0.010585817060637204,3.0,1.0
2,bp_it_entropy,rrg,350,3,0.3,0.3,0.2,70,70,6.479503105590062,113,0.015734989648033125,3.0,1.0
2,bp_it_entropy,rrg,350,3,0.3,0.3,0.3,105,105,6.56062271062271,154,0.01098901098901099,3.0,1.0
2,bp_it_entropy,rrg,350,3,0.3,0.3,0.4,140,140,6.58705035971223,159,0.009558067831449127,3.0,1.0
