sim,method,graph_kind,N,d,delta,lam,rho,k,subset_size,mean_pairwise_distance,boundary_size,density,mean_degree,degree_bias
0,MCMCsubsetOV,rrg,200,3,0.3,0.3,0.2,40,40,5.697435897435898,83,0.010256410256410256,3.0,1.0
0,MCMCsubsetOV,rrg,200,3,0.3,0.3,0.30000000000000004,60,60,5.683050847457627,98,0.011299435028248588,3.0,1.0
0,MCMCsubsetOV,rrg,200,3,0.3,0.3,0.4000000000000001,80,80,5.815506329113924,94,0.014556962025316455,3.0,1.0
0,MCMCsubsetOV,rrg,200,3,0.3,0.3,0.5000000000000001,100,100,5.717575757575758,89,0.014747474747474747,3.0,1.0
